"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance","Referenced in"
"Autobiography: Literary","general term","018530873","Monograph","Language material ; Text","Online resource","GBB7I3939","","9780141963488","Dahl, Roald","","person","","Dahl, Roald [person]","More about Boy : Roald Dahl's tales from childhood","","","","England","London","Puffin","2008","","1 online resource, illustrations","823.914","ELD.DS.197585","Biography ; Children's literature","English","","",""
"Autobiography: Literary","general term","018803150","Monograph","Language material ; Text","Online resource","","","9781405937542","Dahl, Roald","","person","author","Dahl, Roald, author [person]","Going Solo : The Centenary Collection","","The Centenary Collection","","England ; United Kingdom","London","Penguin","2018","","1 online resource (224 pages)","","ELD.DS.271696","","English","","",""
"BIOGRAPHY & AUTOBIOGRAPHY / Personal Memoirs","general term","018803150","Monograph","Language material ; Text","Online resource","","","9781405937542","Dahl, Roald","","person","author","Dahl, Roald, author [person]","Going Solo : The Centenary Collection","","The Centenary Collection","","England ; United Kingdom","London","Penguin","2018","","1 online resource (224 pages)","","ELD.DS.271696","","English","","",""
"BIOGRAPHY & AUTOBIOGRAPHY / Personal Memoirs","general term","019022307","Monograph","Language material ; Text","Online resource","GBB8F7524","","9780141965338","Dahl, Roald","","person","","Dahl, Roald [person]","Going solo","","","","United Kingdom","","Penguin","2012","","1 online resource, illustrations, maps","823.914","ELD.DS.319948","Biography ; Children's literature ; Personal narrative","English","Originally published in print: Great Britain : Jonathan Cape, 1986","",""
"Bashfulness--Juvenile fiction","general term","011935377","Monograph","Language material ; Text","Volume","GBA1Z9911","","9780141311333","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Esio trot","","","","England","London","Puffin","2001","","55 pages, illustrations, 1 portrait, 20 cm","823.914","YK.2001.a.5371","Children's fiction ; Humour or satire","English","Originally published: London : Jonathan Cape, 1990","",""
"Biographical","general term","018531051","Monograph","Language material ; Text","Online resource","GBB7K2119","","9780241962039 ; 9781101652954","Dahl, Roald","","person","","Dahl, Roald [person]","The wonderful story of Henry Sugar, and six more","","","","United States of America","New York","Puffin","2000","","1 online resource (225 pages)","823.914","ELD.DS.197763","","English","","",""
"Biography & Autobiography","general term","019022307","Monograph","Language material ; Text","Online resource","GBB8F7524","","9780141965338","Dahl, Roald","","person","","Dahl, Roald [person]","Going solo","","","","United Kingdom","","Penguin","2012","","1 online resource, illustrations, maps","823.914","ELD.DS.319948","Biography ; Children's literature ; Personal narrative","English","Originally published in print: Great Britain : Jonathan Cape, 1986","",""
"Biography & Autobiography--Literary","general term","017884919","Monograph","Language material ; Text","Online resource (electronic bk)","GBB6I1000","","9780007397068","Sturrock, Donald","","person","","Sturrock, Donald [person]","Storyteller : the life of Roald Dahl","","","","England","London","Harper","2010","","1 online resource (xv, 655 pages, 24 unnumbered pages of plates), illustrations","823.914","ELD.DS.65287","Biography","English","","",""
"Biography: Literary","general term","018529332","Monograph","Language material ; Text","Online resource","GBB7I2891","","9780141335209","Rosen, Michael","1946-","person","","Blake, Quentin, illustrator [person] ; Rosen, Michael, 1946- [person]","Fantastic Mr Dahl","Fantastic Mister Dahl ; Mr Dahl","","","England ; United States of America","London ; New York","Puffin","2012","","1 online resource (162 pages), illustrations","823.914","ELD.DS.196165","Biography ; Children's literature","English","","",""
"Black humor (Literature)","general term","006684803","Monograph","Language material ; Text","Volume","GB9864338","","","Dahl, Roald","","person","","Dahl, Roald [person]","Tales of the unexpected. Vol. 1","","","","England","London","Penguin","1997","","87 pages, 18 cm","823.914","YA.1998.a.11090","","English","'This edition published for Tetley GB Ltd.' - t.p.v","",""
"Black humor (Literature)","general term","009052904","Monograph","Language material ; Text","Volume","GBA220487","","9780140041798","Dahl, Roald","","person","","Dahl, Roald [person]","Switch bitch","","","","England","London","Penguin","2001","","139 pages, 20 cm","823.914","H.2002/1640","","English","Originally published: London : Joseph, 1974","",""
"Black humor (Literature)","general term","009910671","Monograph","Language material ; Text","Volume","GBA124546","","","Dahl, Roald","","person","","Dahl, Roald [person]","The complete tales of the unexpected and other stories","Collected short stories of Roald Dahl","","","England","London","Folio Society","2001","","768 pages, 12 leaves of plates, colour illustrations, 25 cm","823.914","Nov.2001/684","Fiction","English","In slip-case ; Originally published as The collected short stories of Roald Dahl. London : Michael Joseph, 1991","",""
"Black humor (Literature)","general term","015813235","Monograph","Language material ; Text","Volume","GBB161604","","9780241955703","Dahl, Roald","","person","","Dahl, Roald [person]","Someone like you","","","","England","London","Penguin","2011","","354 pages, 20 cm","823.914","H.2012/.7002","Fiction","English","","",""
"Board books","general term","015571740","Monograph","Language material ; Text","Volume","GBB069742","","9780141333137","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","Roald Dahl's diddly squiddly box of songs","Diddly squiddly box of songs","","","England","London","Puffin","2010","","4 volumes, chiefly colour illustrations, 90 3 m","821.914","","","English","Board book ; In slip case","",""
"Board books","general term","019345254","Monograph","Language material ; Still image ; Text","Volume","GBB960442","","9780241370308","Blake, Quentin","","person","artist","Blake, Quentin, artist [person] ; Dahl, Roald [person]","Roald dahl's ABC","","","","England","London","Puffin","2019","","1 volume (unpaged), chiefly colour illustrations, 19 cm","421.1","CLE.2019.a.735","Children's literature ; Pictorial work","English","Board book","",""
"Board books","general term","019345255","Monograph","Language material ; Still image ; Text","Volume","GBB960443","","9780241370315","Dahl, Roald","","person","author","Blake, Quentin, artist [person] ; Dahl, Roald, author [person]","Roald Dahl's colours","","","","England","London","Puffin","2019","","1 volume (unpaged), illustrations, 19 cm","421.1","CLE.2019.a.752","Children's literature ; Pictorial work","English","Board book","",""
"Board books","general term","019519571","Monograph","Language material ; Text","Volume","GBB9E5879","","9780241382653","Dahl, Roald","","person","author","Blake, Quentin, artist [person] ; Dahl, Roald, author [person]","Roald Dahl's little library","Little library","","","England","London","Puffin","2019","","1 volume, chiefly colour illustrations, 90 mm","428.1","","Children's literature ; Pictorial work","English","Board book ; Lift-the-flap book","",""
"Board books","general term","019519572","Monograph","Language material ; Still image ; Text","Volume","GBB9E5880","","9780241419106","Dahl, Roald","","person","author","Blake, Quentin, artist [person] ; Dahl, Roald, author [person]","Roald dahl's little library","Little library","","","England","London","Puffin","2019","","4 volumes, chiefly colour illustrations, 90 mm","428.1","","Children's literature ; Pictorial work","English","Board book ; Lift-the-flap book","",""
"Boys--England--Juvenile fiction","general term","011348033","Monograph","Language material ; Text","Volume","GB9973270","","9780670885770","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person]","James and the giant peach","","","","England","London","Puffin","1999","","124 pages, 27 cm","823.914","YK.2001.b.1712","Children's fiction ; Fantasy","English","Originally published: 1961","",""
"Boys--Juvenile fiction","general term","009724352","Monograph","Language material ; Text","Volume","GBA357496","","9781904357025","Dahl, Roald","","person","","Blake, Quentin [person] ; Dahl, Roald [person] ; Meek, Elin [person]","James a'r eirinen wlanog enfawr","James and the giant peach. Welsh","","","Wales","Hengoed","Rily Publications","2003","","154 pages, illustrations, 20 cm","","","Children's fiction","Welsh","Addasiad Cymraeg gan = Welsh adaptation by : Elin Meek ; Argraffiad Saesneg gwreiddiol = Original English edition : 1961","",""
"Boys--Pictorial works--Juvenile fiction","general term","011933368","Monograph","Language material ; Text","Volume","GBA028524","","9780140543711","Dahl, Roald","","person","","Benson, Patrick [person] ; Dahl, Roald [person]","The minpins","","","","England","London","Puffin","1993","","47 pages, colour illustrations, 28 cm","823.914","YC.2000.b.711","Children's fiction ; Pictorial work","English","Originally published: London : Jonathan Cape, 1991","",""
"Bucket, Charlie (Fictitious character)","general term","018513921","Monograph","Language material ; Text","Online resource","GBB7H4000","","9780141957128","George, Richard","","person","","Dahl, Roald [person] ; George, Richard [person]","Roald Dahl's Charlie and the chocolate factory : a play","Charlie and the chocolate factory","","","England","London","Penguin","1979","","1 online resource (89 pages), illustrations","812.54","ELD.DS.185784","Drama","English","'Puffin books'","",""
